54.683	25.317	543071
54.900	23.900	336817
55.717	21.117	177823
54.950	25.067	120934
55.733	24.350	109034
54.400	24.050	63651
54.517	25.317	44910
55.400	24.700	38840
55.083	24.283	33178
55.500	25.600	31142
55.283	23.967	29850
55.983	22.250	29119
55.600	26.417	26805
55.250	22.283	26444
55.250	24.750	25886
55.917	21.850	22311
55.883	21.250	20776
55.350	21.483	19751
55.483	24.150	18453
55.917	21.050	17244
55.717	21.400	16314
54.017	23.967	15547
54.411	24.018	14960
55.967	25.583	14947
56.200	24.750	13780
54.767	24.633	13248
54.817	23.867	12938
56.000	22.933	12721
55.067	22.767	12510
54.650	23.033	12483
55.367	23.117	11644
55.533	25.100	11400
54.650	25.050	11277
54.683	25.083	11121
56.317	22.900	10733
54.633	23.950	10489
54.395	23.997	10489
55.067	25.650	10312
55.633	22.933	9984
54.217	24.567	9771
54.867	24.450	9395
56.067	24.400	7997
55.833	24.967	7833
55.733	26.250	7349
56.267	21.533	6920
55.233	25.417	6771
54.450	23.294	6658
55.050	24.950	6654
54.300	25.383	6402
54.893	23.917	6330
54.550	22.800	6286
55.000	25.783	5995
55.167	26.000	5950
55.467	22.200	5843
55.350	26.167	5839
54.850	25.483	5830
54.650	22.750	5797
55.150	26.167	5479
55.967	23.867	5460
54.633	24.933	5172
54.767	24.800	4868
54.400	23.233	4811
54.233	23.517	4697
55.367	21.067	3846
55.733	21.933	3727
54.800	24.450	3647
54.167	25.000	3478
55.267	23.467	3188
54.617	24.033	3074
55.767	23.767	2975
56.200	22.700	2743
55.600	23.200	2516
55.517	23.267	2491
54.517	24.833	2403
55.050	23.583	2289
56.233	22.517	2115
55.150	21.900	2108
55.317	23.133	1981
54.844	24.172	1960
55.239	22.250	1891
54.883	23.617	1889
54.463	22.520	1875
55.083	22.983	1824
55.417	22.617	1815
55.400	22.583	1815
56.067	21.567	1714
56.083	23.983	1679
54.400	23.650	1648
55.517	24.300	1645
55.550	21.317	1594
54.947	24.031	1583
54.100	23.700	1485
54.600	25.175	1387
54.367	24.333	1343
56.033	24.167	1318
55.908	21.283	1254
54.600	24.167	1234
55.933	25.800	1204
54.925	23.808	1196
55.781	24.361	1158
