952 72
649 54
565 64
895 32
714 36
830 57
630 56
27 74
147 34
119 38
868 54
303 68
360 44
478 53
715 37
421 45
763 50
69 58
792 80
55 51
653 78
463 70
894 52
283 65
42 74
87 59
845 64
230 61
712 39
401 44
389 71
834 62
163 54
454 71
267 41
273 77
68 65
173 35
131 77
226 57
67 56
639 73
835 68
108 39
576 51
768 68
888 38
586 48
764 50
324 50
799 34
911 47
829 43
593 40
466 36
74 63
246 48
922 56
146 74
624 79
9 57
643 80
34 71
112 30
92 43
827 56
863 58
278 67
415 68
555 58
840 30
281 55
355 70
98 49
367 51
456 63
691 53
492 54
297 62
286 42
717 31
149 59
484 49
312 34
837 34
347 44
259 32
204 56
791 40
133 60
348 66
274 49
934 66
184 32
804 62
752 57
225 46
48 31
823 63
81 53
156 76
326 31
569 53
907 31
180 45
442 77
728 80
596 47
637 55
129 73
475 54
413 43
402 70
363 51
449 61
264 48
506 33
609 59
125 50
359 34
582 53
881 48
515 37
325 45
598 51
391 71
72 48
628 56
140 72
370 30
86 54
107 70
583 73
350 31
166 44
935 74
215 42
785 46
444 70
906 68
158 36
261 71
745 71
403 59
803 71
996 79
807 73
384 78
227 54
437 57
581 33
206 52
851 79
75 41
873 60
533 40
976 39
499 37
138 36
429 80
31 39
399 52
527 64
560 73
229 34
416 50
436 60
242 70
955 77
755 45
668 66
854 48
754 62
143 67
896 35
461 36
224 50
796 72
417 40
35 62
41 48
209 41
345 52
73 39
501 56
788 80
732 55
12 73
939 30
159 33
613 70
157 49
237 37
255 66
400 44
164 32
864 40
59 72
196 74
102 61
741 42
880 52
612 60
393 47
615 71
884 76
663 40
876 59
135 52
545 50
260 41
218 53
37 59
412 69
473 63
559 72
2 56
664 77
944 58
925 44
364 68
528 38
365 60
438 34
371 79
189 56
702 45
769 44
580 62
531 38
665 45
540 79
793 63
614 51
183 37
306 45
898 78
445 69
216 44
1 76
661 74
770 48
852 31
20 58
172 56
186 67
234 61
519 38
214 75
591 62
623 43
441 77
317 38
136 48
190 62
16 62
256 63
276 38
390 72
862 55
554 64
121 44
887 58
775 42
174 52
524 40
525 50
778 72
761 71
385 69
699 38
700 66
423 30
529 73
414 57
88 35
585 56
341 79
54 54
682 52
813 61
959 66
45 63
640 32
954 46
617 48
305 52
343 49
18 73
245 47
298 51
866 44
733 53
766 63
455 49
199 60
704 44
946 41
366 43
814 35
759 49
849 37
517 73
968 74
787 38
677 37
601 79
689 35
860 35
738 49
805 79
252 38
553 68
590 53
422 31
740 69
488 66
544 78
494 63
443 45
93 48
557 51
238 56
842 36
526 52
489 36
861 66
335 36
679 54
780 32
825 47
148 60
509 69
95 60
724 67
826 34
419 78
507 39
14 41
686 36
241 45
595 41
483 74
29 54
912 65
213 38
801 48
22 36
592 54
397 30
633 73
708 78
577 32
485 35
853 32
405 62
322 53
395 78
600 34
52 51
258 40
280 63
858 69
719 72
972 72
951 58
56 45
774 60
160 43
223 31
539 35
427 66
608 79
575 35
181 39
208 66
197 40
266 41
387 37
309 79
21 76
610 42
650 52
821 44
452 75
551 35
698 55
374 55
797 32
388 36
930 63
685 59
292 33
205 67
453 35
368 80
3 68
695 40
990 38
13 61
543 69
828 38
597 56
44 66
920 45
497 40
933 35
495 45
272 43
369 41
219 46
232 42
161 35
927 44
632 56
217 46
319 59
410 56
535 61
433 79
47 71
882 38
567 36
320 56
690 72
420 56
24 46
510 68
900 59
926 75
97 57
905 48
426 33
756 41
762 75
550 48
659 69
254 32
302 66
563 68
185 41
848 71
546 71
288 58
669 62
231 74
269 41
783 47
839 71
964 76
457 66
711 55
634 73
564 79
652 49
311 59
192 45
811 68
969 43
446 77
353 60
619 67
257 43
337 37
330 75
846 76
725 47
667 56
997 77
187 71
373 32
703 69
735 58
425 41
471 43
950 66
480 34
511 41
587 76
605 72
942 59
817 46
794 53
983 71
982 76
629 36
132 44
782 38
603 31
239 60
977 64
142 58
832 32
431 36
248 76
771 64
152 38
396 32
818 60
995 60
